dbn,school_name,district,zip,community_school,economic_need_index,school_income_estimate,percent_ell,percent_asian,percent_black,percent_hispanic,percent_black__hispanic,percent_white,student_attendance_rate,percent_of_students_chronically_absent,rigorous_instruction_percent,collaborative_teachers_percent,supportive_environment_percent,effective_school_leadership_percent,strong_family_community_ties_percent,trust_percent,student_achievement_rating,average_ela_proficiency,average_math_proficiency,grade_7_ela_all_students_tested,grade_7_ela_4s_all_students,grade_7_ela_4s_american_indian_or_alaska_native,grade_7_ela_4s_black_or_african_american,grade_7_ela_4s_hispanic_or_latino,grade_7_ela_4s_asian_or_pacific_islander,grade_7_ela_4s_white,grade_7_ela_4s_multiracial,grade_7_ela_4s_limited_english_proficient,grade_7_ela_4s_economically_disadvantaged,grade_7_math_all_students_tested,grade_7_math_4s_all_students,grade_7_math_4s_american_indian_or_alaska_native,grade_7_math_4s_black_or_african_american,grade_7_math_4s_hispanic_or_latino,grade_7_math_4s_asian_or_pacific_islander,grade_7_math_4s_white,grade_7_math_4s_multiracial,grade_7_math_4s_limited_english_proficient,grade_7_math_4s_economically_disadvantaged,sie_provided,in_bronx,in_brooklyn,in_manhattan,in_queens,in_staten
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,1,10009,0,0.597,,3,23,16,37,53,20,96.0,7.0,90.0,89.0,88.0,86.0,83.0,94.0,4.0,2.92,3.01,93,22,0,0,4,8,6,0,0,13,93,10,0,0,1,5,3,0,0,7,0,0,0,1,0,0
02M104,J.H.S. 104 SIMON BARUCH,2,10010,0,0.522,,5,40,8,21,29,28,96.0,11.0,87.0,89.0,85.0,84.0,70.0,92.0,4.0,3.05,3.25,376,109,1,0,10,44,52,2,0,39,379,153,1,1,9,75,63,4,0,63,0,0,0,1,0,0
02M114,EAST SIDE MIDDLE SCHOOL,2,10028,0,0.10400000000000001,,0,15,3,9,12,66,98.0,2.0,92.0,96.0,92.0,94.0,82.0,96.0,4.0,3.66,3.94,140,80,3,0,8,16,46,0,0,5,140,116,5,0,10,23,73,0,0,9,0,0,0,1,0,0
02M126,P.S. 126 JACOB AUGUST RIIS,2,10038,0,0.728,38919.61,17,59,11,21,32,8,96.0,10.0,91.0,93.0,91.0,89.0,82.0,95.0,4.0,2.93,3.29,103,32,0,0,4,17,9,0,0,20,104,44,0,0,2,30,11,0,0,29,1,0,0,1,0,0
02M131,M.S. 131,2,10002,0,0.8370000000000001,,35,77,8,14,22,0,97.0,9.0,86.0,92.0,91.0,86.0,78.0,95.0,4.0,2.49,3.02,140,18,0,0,0,18,0,0,0,0,154,32,0,0,0,32,0,0,4,0,0,0,0,1,0,0
02M167,J.H.S. 167 ROBERT F. WAGNER,2,10021,0,0.36,,4,28,8,19,27,42,96.0,9.0,85.0,89.0,87.0,84.0,76.0,92.0,4.0,3.08,3.34,398,93,0,3,10,31,47,0,1,33,405,159,0,2,8,76,68,0,4,71,0,0,0,1,0,0
02M177,YORKVILLE EAST MIDDLE SCHOOL,2,10075,0,0.271,,1,11,11,30,40,42,96.0,9.0,99.0,99.0,88.0,99.0,92.0,98.0,,3.13,3.59,51,10,0,0,1,2,2,0,0,0,50,21,0,0,4,4,8,0,0,4,0,0,0,1,0,0
02M217,P.S./I.S. 217 ROOSEVELT ISLAND,2,10044,0,0.293,93388.06,7,29,16,14,30,36,95.0,10.0,93.0,95.0,89.0,88.0,89.0,92.0,3.0,2.9,3.01,24,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
02M225,ELLA BAKER SCHOOL,2,10021,0,0.429,58096.58,3,4,19,37,56,35,92.0,26.0,91.0,91.0,93.0,82.0,95.0,90.0,3.0,2.71,2.75,12,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
02M255,M.S. 255 SALK SCHOOL OF SCIENCE,2,10003,0,0.131,,0,19,3,9,13,63,97.0,5.0,93.0,97.0,95.0,96.0,88.0,98.0,4.0,3.75,3.63,121,72,0,0,3,14,47,0,0,4,121,85,0,0,5,16,53,0,0,5,0,0,0,1,0,0
02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,2,10003,0,0.23600000000000002,,1,14,6,10,16,65,97.0,2.0,91.0,90.0,90.0,87.0,87.0,95.0,4.0,3.37,3.36,86,24,0,0,0,3,19,0,0,2,84,17,0,0,0,3,13,0,0,1,0,0,0,1,0,0
02M276,BATTERY PARK CITY SCHOOL,2,10011,0,0.114,140085.12,2,21,4,11,15,56,96.0,8.0,92.0,94.0,88.0,92.0,90.0,93.0,3.0,3.16,3.32,89,26,0,0,1,6,19,0,0,1,89,22,0,0,0,8,12,0,0,1,1,0,0,1,0,0
02M289,I.S. 289,2,10282,0,0.313,,1,38,8,13,21,38,97.0,2.0,91.0,97.0,82.0,95.0,84.0,93.0,3.0,3.18,3.26,96,31,0,0,5,13,12,0,0,9,96,22,0,0,1,14,7,0,0,9,0,0,0,0,0,0
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,2,10011,0,0.308,,1,47,2,7,10,34,98.0,2.0,88.0,91.0,90.0,83.0,85.0,92.0,4.0,3.62,3.94,173,85,0,0,0,45,27,8,0,27,173,130,0,0,0,74,41,11,0,43,0,0,0,1,0,0
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,2,10010,0,0.812,51287.22,6,4,22,46,68,23,92.0,29.0,82.0,68.0,91.0,53.0,82.0,82.0,3.0,2.32,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
02M397,SPRUCE STREET SCHOOL,2,10018,0,0.059000000000000004,143926.53,2,14,3,12,15,58,96.0,6.0,97.0,93.0,97.0,93.0,94.0,95.0,4.0,3.29,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2,10003,0,0.258,,0,7,16,16,32,55,96.0,13.0,94.0,98.0,90.0,98.0,89.0,96.0,2.0,3.28,2.95,10,5,0,0,0,0,3,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2,10036,0,0.33,,0,5,23,20,43,44,96.0,9.0,90.0,86.0,84.0,85.0,75.0,91.0,4.0,3.44,3.38,25,9,0,0,0,0,6,0,0,1,24,11,0,0,0,0,7,0,0,0,0,0,0,1,0,0
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2,10010,0,0.358,,1,15,11,29,40,37,97.0,6.0,88.0,96.0,88.0,91.0,76.0,92.0,3.0,3.05,3.21,80,19,0,0,3,1,9,6,0,2,80,27,0,0,5,4,13,4,0,4,0,0,0,1,0,0
02M422,QUEST TO LEARN,2,10011,0,0.406,,3,11,19,35,54,29,95.0,11.0,83.0,79.0,82.0,74.0,80.0,86.0,3.0,2.94,2.76,81,10,0,0,1,1,7,1,0,0,78,9,0,0,0,3,3,3,0,1,0,0,0,1,0,0
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",2,10003,0,0.46799999999999997,56095.12,0,36,25,16,41,19,96.0,7.0,98.0,98.0,92.0,94.0,84.0,95.0,4.0,3.21,3.65,20,5,0,0,0,3,0,0,0,1,20,5,0,0,0,3,0,0,0,1,1,0,0,1,0,0
02M655,LIFE SCIENCES SECONDARY SCHOOL,2,10128,0,0.765,,6,5,31,60,91,2,90.0,30.0,90.0,90.0,77.0,67.0,65.0,81.0,2.0,2.24,1.95,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,2,10004,0,0.564,,8,40,9,20,29,27,96.0,8.0,84.0,93.0,90.0,95.0,85.0,96.0,3.0,2.77,2.88,109,19,0,0,4,8,5,0,0,7,108,33,0,0,3,20,7,0,1,18,0,0,0,1,0,0
02M933,CITY KNOLL MIDDLE SCHOOL,2,10001,0,0.613,,7,10,20,47,67,20,95.0,19.0,90.0,95.0,80.0,93.0,78.0,93.0,,2.7,2.58,75,8,0,1,3,0,2,0,0,6,76,7,0,0,2,0,2,0,0,5,0,0,0,1,0,0
03M054,J.H.S. 054 BOOKER T. WASHINGTON,3,10025,0,0.221,,2,9,8,12,20,64,96.0,5.0,85.0,83.0,87.0,80.0,84.0,90.0,4.0,3.46,3.7,250,135,0,4,9,16,101,0,0,14,251,170,0,5,6,23,129,0,0,17,0,0,0,1,0,0
03M076,P.S. 076 A. PHILIP RANDOLPH,3,10027,0,0.85,39051.13,9,1,80,16,96,3,90.0,42.0,91.0,95.0,93.0,89.0,89.0,96.0,3.0,2.39,2.24,43,2,0,2,0,0,0,0,0,2,44,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
03M149,P.S. 149 SOJOURNER TRUTH,3,10026,1,0.883,37110.83,9,3,64,27,92,2,91.0,37.0,83.0,70.0,77.0,60.0,81.0,82.0,2.0,2.1,2.03,24,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
03M165,P.S. 165 ROBERT E. SIMON,3,10025,0,0.7390000000000001,48783.74,17,3,14,68,82,13,91.0,29.0,87.0,82.0,87.0,73.0,86.0,85.0,3.0,2.37,2.41,49,3,0,0,3,0,0,0,0,3,50,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
03M180,P.S. 180 HUGO NEWMAN,3,10027,0,0.69,51468.6,5,1,57,30,87,8,94.0,19.0,86.0,86.0,86.0,85.0,90.0,90.0,2.0,2.48,2.44,52,3,0,3,0,0,0,0,0,1,53,6,0,4,0,0,0,0,0,4,1,0,0,1,0,0
03M243,M.S. 243 CENTER SCHOOL,3,10024,0,0.18100000000000002,,0,8,15,12,27,61,98.0,0.0,96.0,91.0,96.0,90.0,91.0,96.0,4.0,3.61,3.57,57,32,0,2,2,0,24,0,0,0,57,23,0,0,3,0,17,0,0,0,0,0,0,1,0,0
03M245,M.S. M245 THE COMPUTER SCHOOL,3,10024,0,0.304,,3,6,14,26,40,50,97.0,6.0,90.0,92.0,91.0,85.0,86.0,95.0,4.0,3.17,3.14,124,41,0,3,8,2,26,0,0,6,125,35,0,2,6,2,24,0,0,5,0,0,0,1,0,0
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,3,10025,0,0.802,,31,0,1,99,99,1,96.0,7.0,89.0,93.0,92.0,88.0,88.0,95.0,4.0,2.51,2.64,63,2,0,0,2,0,0,0,0,2,65,2,0,0,2,0,0,0,0,2,0,0,0,1,0,0
03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,3,10025,0,0.6609999999999999,,6,2,32,55,87,9,94.0,18.0,91.0,98.0,91.0,97.0,82.0,96.0,4.0,2.61,2.44,52,5,0,1,3,0,0,0,0,2,52,3,0,0,2,0,0,0,0,2,0,0,0,1,0,0
03M256,M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,3,10025,0,0.778,,19,2,51,38,88,7,88.0,38.0,83.0,89.0,80.0,87.0,83.0,91.0,3.0,2.27,2.1,47,4,0,1,1,0,0,0,0,2,52,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0
03M258,COMMUNITY ACTION SCHOOL - MS 258,3,10025,0,0.73,,3,2,45,43,87,11,94.0,15.0,96.0,96.0,87.0,94.0,82.0,93.0,3.0,2.41,2.5,67,2,0,1,1,0,0,0,0,1,67,3,0,1,2,0,0,0,0,2,0,0,0,1,0,0
03M291,WEST END SECONDARY SCHOOL,3,10023,0,,,2,4,10,18,27,63,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,3,10025,0,0.233,72112.72,1,7,11,17,27,62,95.0,9.0,93.0,87.0,88.0,79.0,94.0,91.0,3.0,3.09,3.03,46,15,0,0,4,0,10,0,0,3,46,6,0,0,1,0,5,0,0,0,1,0,0,1,0,0
03M334,THE ANDERSON SCHOOL,3,10024,0,0.134,89026.73,0,28,4,9,13,53,98.0,1.0,90.0,90.0,92.0,87.0,93.0,92.0,4.0,3.93,4.15,72,50,0,0,0,13,30,0,0,4,72,59,0,0,0,0,39,0,0,3,1,0,0,1,0,0
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,3,10026,1,0.7909999999999999,,5,2,53,44,96,1,93.0,23.0,86.0,77.0,82.0,71.0,77.0,82.0,2.0,2.04,1.99,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
03M421,WEST PREP ACADEMY,3,10025,0,0.767,,5,2,52,39,91,5,92.0,25.0,90.0,97.0,83.0,94.0,86.0,94.0,3.0,2.31,2.45,55,0,0,0,0,0,0,0,0,0,55,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0
03M859,SPECIAL MUSIC SCHOOL,3,10023,0,0.253,76791.47,1,16,13,14,28,43,96.0,7.0,96.0,97.0,91.0,95.0,91.0,95.0,4.0,3.67,3.85,14,10,0,0,0,0,6,0,0,0,14,7,0,0,0,0,3,0,0,0,1,0,0,1,0,0
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,3,10026,0,0.7859999999999999,,8,2,68,27,95,1,88.0,34.0,76.0,76.0,81.0,72.0,76.0,84.0,3.0,2.32,2.22,23,0,0,0,0,0,0,0,0,0,22,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
03M862,MOTT HALL II,3,10025,0,0.47700000000000004,,2,6,26,37,63,26,96.0,8.0,83.0,95.0,89.0,93.0,84.0,95.0,3.0,3.11,3.23,108,23,0,4,5,1,10,0,0,8,108,26,0,3,5,5,11,0,0,6,0,0,0,1,0,0
04M007,P.S. 007 SAMUEL STERN,4,10035,0,0.899,24553.59,12,3,30,62,92,4,90.0,34.0,90.0,86.0,83.0,82.0,84.0,87.0,4.0,2.43,2.52,37,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
04M012,TAG YOUNG SCHOLARS,4,10029,0,0.435,48431.58,0,34,25,19,44,15,97.0,5.0,92.0,92.0,91.0,86.0,87.0,90.0,4.0,3.64,3.89,56,38,0,7,5,18,0,0,0,21,57,42,0,8,5,22,0,0,0,21,1,0,0,1,0,0
04M050,P.S. 050 VITO MARCANTONIO,4,10029,1,0.89,30295.44,10,1,45,53,98,0,87.0,49.0,87.0,74.0,89.0,67.0,79.0,84.0,2.0,2.1,2.07,27,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
04M057,JAMES WELDON JOHNSON,4,10029,0,0.885,26905.07,12,4,26,67,93,2,92.0,28.0,92.0,85.0,85.0,81.0,82.0,91.0,4.0,2.46,2.57,91,2,0,0,0,0,0,0,0,2,91,4,0,2,0,0,0,0,0,4,1,0,0,1,0,0
04M072,THE LEXINGTON ACADEMY,4,10029,0,0.866,33728.15,11,1,13,83,95,3,92.0,30.0,90.0,90.0,94.0,82.0,87.0,92.0,3.0,2.32,2.4,73,0,0,0,0,0,0,0,0,0,72,2,0,0,1,0,0,0,0,2,1,0,0,1,0,0
04M096,P.S. 096 JOSEPH LANZETTA,4,10035,0,0.902,25392.85,18,2,26,68,94,3,91.0,37.0,88.0,85.0,89.0,77.0,77.0,88.0,3.0,2.17,2.03,48,1,0,0,1,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,4,10029,0,0.843,27911.28,13,5,28,64,92,1,91.0,34.0,87.0,80.0,86.0,67.0,83.0,86.0,3.0,2.29,2.31,84,2,0,0,0,0,0,0,0,2,81,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
04M171,P.S. 171 PATRICK HENRY,4,10029,0,0.7509999999999999,31078.32,3,5,25,63,89,4,94.0,19.0,92.0,83.0,95.0,71.0,87.0,89.0,4.0,2.85,3.08,91,18,0,2,15,0,0,0,0,11,91,24,0,2,17,0,0,0,0,15,1,0,0,1,0,0
04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,4,10029,0,0.708,,2,5,36,51,87,7,93.0,23.0,88.0,88.0,86.0,80.0,79.0,88.0,3.0,2.64,2.7,42,5,0,2,2,0,0,0,0,1,43,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
04M372,ESPERANZA PREPARATORY ACADEMY,4,10029,0,0.836,,28,1,15,82,97,2,91.0,35.0,87.0,77.0,84.0,72.0,77.0,85.0,3.0,2.19,2.08,74,1,0,0,1,0,0,0,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
04M377,RENAISSANCE SCHOOL OF THE ARTS,4,10035,1,0.865,,10,1,45,53,98,1,90.0,32.0,89.0,93.0,88.0,89.0,90.0,95.0,3.0,2.32,2.15,49,3,0,1,0,0,0,0,0,2,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
04M406,GLOBAL TECHNOLOGY PREPARATORY,4,10035,0,0.85,,11,3,40,56,97,1,95.0,15.0,89.0,99.0,88.0,96.0,81.0,94.0,4.0,2.27,2.36,41,1,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,4,10029,0,0.722,,2,9,25,60,85,4,95.0,16.0,90.0,97.0,87.0,92.0,72.0,94.0,3.0,2.69,2.54,42,6,0,0,4,0,0,0,0,0,42,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,4,10029,0,0.8420000000000001,,9,5,29,64,94,1,93.0,23.0,84.0,87.0,85.0,84.0,80.0,92.0,3.0,2.24,2.15,75,5,0,2,1,0,0,0,0,5,77,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
04M964,CENTRAL PARK EAST II,4,10029,0,0.46,42839.62,1,6,29,31,60,25,93.0,18.0,95.0,98.0,97.0,98.0,94.0,97.0,3.0,2.96,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
05M123,P.S. 123 MAHALIA JACKSON,5,10030,1,0.835,34752.53,17,2,52,41,93,4,88.0,49.0,83.0,72.0,84.0,65.0,82.0,81.0,2.0,2.11,2.0,53,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
05M129,P.S. 129 JOHN H. FINLEY,5,10027,0,0.8540000000000001,31077.89,11,2,42,51,93,1,92.0,33.0,90.0,91.0,82.0,76.0,81.0,89.0,3.0,2.38,2.29,36,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,5,10030,0,0.747,,3,0,74,24,98,1,88.0,47.0,92.0,91.0,83.0,91.0,82.0,90.0,2.0,2.26,2.02,48,2,0,2,0,0,0,0,0,2,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
05M161,P.S. 161 PEDRO ALBIZU CAMPOS,5,10027,0,0.875,29854.02,27,3,18,77,95,1,91.0,35.0,89.0,89.0,85.0,79.0,86.0,90.0,3.0,2.28,2.38,100,4,0,0,3,0,0,0,0,3,101,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
05M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,5,10027,0,0.8170000000000001,,6,0,59,39,98,1,87.0,42.0,92.0,86.0,90.0,76.0,78.0,86.0,1.0,2.12,1.92,52,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
05M302,KAPPA IV,5,10030,0,0.852,,14,6,53,39,92,1,90.0,35.0,77.0,81.0,81.0,69.0,83.0,84.0,2.0,2.16,1.89,39,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
05M362,COLUMBIA SECONDARY SCHOOL,5,10027,0,0.507,,0,12,21,44,65,20,98.0,1.0,87.0,92.0,88.0,90.0,84.0,93.0,4.0,3.47,3.73,89,34,0,3,12,0,10,0,0,13,89,63,0,16,16,0,18,0,0,19,0,0,0,1,0,0
05M499,FREDERICK DOUGLASS ACADEMY,5,10039,0,0.708,,3,1,71,23,94,2,93.0,22.0,89.0,86.0,79.0,75.0,78.0,85.0,2.0,2.41,2.24,73,4,0,3,0,0,0,0,0,4,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
05M514,NEW DESIGN MIDDLE SCHOOL,5,10031,0,0.8809999999999999,,11,1,52,43,95,3,91.0,27.0,83.0,79.0,81.0,75.0,78.0,87.0,2.0,2.08,1.94,59,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,5,10030,0,0.732,,3,1,74,23,97,0,96.0,5.0,79.0,90.0,79.0,82.0,74.0,91.0,2.0,2.47,2.27,48,2,0,0,0,0,0,0,0,2,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
06M018,P.S. 018 PARK TERRACE,6,10034,0,0.823,44006.21,44,0,1,97,98,2,93.0,23.0,92.0,87.0,86.0,79.0,85.0,90.0,3.0,2.1,2.36,40,2,0,0,0,0,0,0,0,1,42,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
06M052,J.H.S. 052 INWOOD,6,10034,0,0.8240000000000001,,32,0,4,93,97,2,93.0,23.0,85.0,91.0,83.0,85.0,91.0,90.0,3.0,2.3,2.22,126,2,0,0,2,0,0,0,0,2,126,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
06M143,J.H.S. 143 ELEANOR ROOSEVELT,6,10033,0,0.8490000000000001,,52,0,1,96,97,3,91.0,24.0,82.0,83.0,81.0,78.0,76.0,86.0,3.0,2.12,2.06,102,2,0,0,0,0,0,0,0,1,113,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
06M187,P.S./I.S. 187 HUDSON CLIFFS,6,10040,0,0.406,68615.55,7,2,3,58,61,34,95.0,11.0,91.0,91.0,88.0,82.0,90.0,89.0,3.0,2.84,2.98,88,9,0,0,4,0,4,0,0,3,89,8,0,0,1,0,6,0,0,0,1,0,0,1,0,0
06M209,HAMILTON GRANGE MIDDLE SCHOOL,6,10031,0,0.7859999999999999,,34,1,11,85,96,3,96.0,10.0,73.0,78.0,79.0,70.0,79.0,85.0,,2.09,2.31,65,2,0,0,2,0,0,0,0,1,68,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,6,10031,0,0.8,36575.2,33,1,3,96,99,0,95.0,12.0,94.0,92.0,91.0,83.0,86.0,91.0,4.0,2.46,2.62,50,2,0,0,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
06M218,I.S. 218 SALOME URENA,6,10040,0,0.84,,49,0,2,93,96,3,92.0,24.0,91.0,81.0,90.0,75.0,84.0,89.0,2.0,2.09,2.09,71,4,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
