,rank,1s,dbn,school_name,economic_need_index,grade_7_enrollment,num_shsat_test_takers,pct_test_takers,percent_black__hispanic,minority_delta,score
39,38,10.0,27Q323,SCHOLARS' ACADEMY,0.40299999999999997,231,104,24,37,5,5.0
26,39,7.0,28Q157,J.H.S. 157 STEPHEN A. HALSEY,0.408,528,249,43,33,7,4.8999999999999995
65,40,1.0,27Q202,J.H.S. 202 ROBERT H. GODDARD,0.593,350,98,26,55,44,4.4
462,41,8.0,11X180,M.S. 180 DR. DANIEL HALE WILLIAMS,0.504,307,151,49,92,5,4.0
272,42,8.0,03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,0.233,63,15,30,27,5,4.0
92,43,9.0,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,0.258,68,21,14,32,4,3.6
33,44,4.0,24Q125,I.S. 125 THOM J. MCCANN WOODSIDE,0.615,567,272,50,54,9,3.6
83,45,4.0,06M278,PAULA HEDBAVNY SCHOOL,0.604,69,24,36,80,9,3.6
103,46,2.0,08X101,M.S. X101 EDWARD R. BYRNE,0.489,176,66,44,66,16,3.2
11,47,10.0,20K259,J.H.S. 259 WILLIAM MCKINLEY,0.622,630,309,53,23,3,3.0
79,48,3.0,30Q291,HUNTERS POINT COMMUNITY MIDDLE SCHOOL,0.563,159,65,45,63,10,3.0
99,49,6.0,25Q219,P.S. 219 PAUL KLAPPER,0.457,83,29,38,40,5,3.0
364,50,9.0,13K492,ACADEMY OF ARTS AND LETTERS,0.363,63,26,44,57,3,2.7
70,51,9.0,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,0.358,105,46,21,40,3,2.7
30,52,3.0,31R075,I.S. 075 FRANK D. PAULO,0.207,463,153,35,11,9,2.6999999999999997
431,53,5.0,04M171,P.S. 171 PATRICK HENRY,0.7509999999999999,95,43,47,89,5,2.5
335,54,1.0,28Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,0.397,127,21,8,57,25,2.5
66,55,10.0,02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,0.23600000000000002,99,36,16,16,2,2.0
54,56,5.0,31R007,I.S. 007 ELIAS BERNSTEIN,0.239,370,129,32,7,4,2.0
62,57,10.0,15K443,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,0.381,191,94,50,48,2,2.0
67,58,8.0,24Q102,P.S. 102 BAYVIEW,0.535,143,67,46,36,2,1.6
365,59,1.0,24Q113,P.S./I.S. 113 ANTHONY J. PRANZO,0.263,109,26,19,41,12,1.2000000000000002
247,60,2.0,21K095,P.S. 095 THE GRAVESEND,0.695,49,12,25,48,6,1.2000000000000002
343,61,1.0,31R080,THE MICHAEL J. PETRIDES SCHOOL,0.366,98,22,10,42,12,1.2000000000000002
86,62,6.0,22K206,P.S. 206 JOSEPH F LAMB,0.4970000000000001,126,51,43,13,2,1.2
352,63,6.0,11X019,P.S. 019 JUDITH K. WEISS,0.35,58,24,52,36,2,1.2
9,64,10.0,25Q185,J.H.S. 185 EDWARD BLEEKER,0.44299999999999995,494,250,46,32,1,1.0
23,65,10.0,28Q190,J.H.S. 190 RUSSELL SAGE,0.3720000000000001,344,172,49,35,1,1.0
158,66,5.0,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,0.293,22,6,28,30,2,1.0
436,67,2.0,23K392,I.S. 392,0.589,98,46,48,91,4,0.8
405,68,1.0,06M187,P.S./I.S. 187 HUDSON CLIFFS,0.406,97,36,34,61,8,0.8
112,69,2.0,20K030,P.S./I.S. 30 MARY WHITE OVINGTON,0.6509999999999999,125,51,41,31,4,0.8
84,70,1.0,28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",0.496,79,29,17,60,7,0.7000000000000001
384,71,1.0,30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",0.561,81,29,17,49,6,0.6000000000000001
300,72,1.0,21K099,P.S. 099 ISAAC ASIMOV,0.695,70,17,16,26,5,0.5
94,73,2.0,13K008,P.S. 008 ROBERT FULTON,0.179,97,42,65,25,2,0.4
153,74,2.0,27Q114,P.S./M.S. 114 BELLE HARBOR,0.371,43,0,0,11,2,0.4
111,75,1.0,25Q164,P.S. 164 QUEENS VALLEY,0.415,88,38,43,32,2,0.2
85,76,2.0,24Q128,"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",0.18,103,46,39,21,1,0.2
349,77,1.0,26Q178,P.S./ IS 178 HOLLISWOOD,0.215,59,23,38,17,1,0.1
104,78,1.0,31R063,MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING,0.317,148,70,44,27,1,0.1
130,79,0.0,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,0.799,59,0,0,94,28,0.0
315,80,0.0,10X308,BRONX DANCE ACADEMY SCHOOL,0.8240000000000001,92,19,23,97,27,0.0
301,81,0.0,29Q355,COLLABORATIVE ARTS MIDDLE SCHOOL,0.557,93,17,16,97,30,0.0
173,82,0.0,30Q235,ACADEMY FOR NEW AMERICANS,0.6759999999999999,39,6,12,63,9,0.0
188,83,0.0,06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,0.8,59,8,16,99,22,0.0
113,84,0.0,31R051,I.S. 051 EDWIN MARKHAM,0.604,461,101,23,66,89,0.0
282,85,0.0,01M450,EAST SIDE COMMUNITY SCHOOL,0.61,105,16,8,74,28,0.0
311,86,0.0,29Q192,I.S. 192 THE LINDEN,0.48700000000000004,152,18,11,95,57,0.0
410,87,0.0,27Q319,VILLAGE ACADEMY,0.75,119,37,30,97,23,0.0
427,88,0.0,18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,0.534,119,42,30,99,19,0.0
424,89,0.0,10X020,"P.S./M.S. 20 P.O.GEORGE J. WERDANN, III",0.8059999999999999,122,42,35,82,17,0.0
371,90,0.0,28Q332,REDWOOD MIDDLE SCHOOL,0.578,111,27,25,85,25,0.0
245,91,0.0,19K662,LIBERTY AVENUE MIDDLE SCHOOL,0.823,156,12,7,92,62,0.0
81,92,0.0,31R024,I.S. 024 MYRA S. BARNES,0.254,460,132,34,13,13,0.0
425,93,0.0,10X095,P.S. 095 SHEILA MENCHER,0.7859999999999999,156,42,26,87,33,0.0
191,94,0.0,10X206,I.S. 206 ANN MERSEREAU,0.909,64,8,11,97,24,0.0
192,95,0.0,12X217,SCHOOL OF PERFORMING ARTS,0.87,92,8,8,96,37,0.0
280,96,0.0,21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,0.564,97,15,7,51,18,0.0
287,97,0.0,18K068,I.S. 068 ISAAC BILDERSEE,0.59,120,16,11,95,43,0.0
318,98,0.0,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,0.608,103,19,6,33,11,0.0
309,99,0.0,17K354,THE SCHOOL OF INTEGRATED LEARNING,0.792,57,18,26,91,10,0.0
413,100,0.0,13K282,P.S. 282 PARK SLOPE,0.555,62,38,39,85,-5,-0.0
326,101,0.0,23K518,KAPPA V (KNOWLEDGE AND POWER PREPARATORY ACADEMY),0.6970000000000001,77,20,26,97,19,0.0
193,102,0.0,13K266,M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,0.6890000000000001,39,8,11,98,12,0.0
450,103,0.0,09X128,MOTT HALL III,0.852,125,68,57,98,-4,-0.0
135,104,0.0,09X117,I.S. 117 JOSEPH H. WADE,0.9,178,0,0,97,88,0.0
125,105,0.0,05M123,P.S. 123 MAHALIA JACKSON,0.835,58,0,0,93,28,0.0
229,106,0.0,32K562,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,0.848,125,10,10,96,52,0.0
240,107,0.0,32K347,I.S. 347 SCHOOL OF HUMANITIES,0.821,113,11,11,96,45,0.0
262,108,0.0,10X254,I.S. 254,0.885,165,13,9,95,68,0.0
144,109,0.0,14K582,M.S. 582,0.825,80,0,0,95,39,0.0
264,110,0.0,27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,0.667,72,13,6,85,20,0.0
255,111,0.0,06M052,J.H.S. 052 INWOOD,0.8240000000000001,73,13,10,97,24,0.0
411,112,0.0,28Q072,CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,0.614,142,37,28,83,29,0.0
351,113,0.0,10X390,M.S. 390,0.9109999999999999,188,24,14,98,70,0.0
396,114,0.0,09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,0.86,151,35,22,96,40,0.0
126,115,0.0,06M349,HARBOR HEIGHTS,0.878,38,0,0,100,19,0.0
419,116,0.0,09X232,I.S. 232,0.872,145,41,23,99,33,0.0
381,117,0.0,10X447,CRESTON ACADEMY,0.898,167,29,18,96,54,0.0
234,118,0.0,05M514,NEW DESIGN MIDDLE SCHOOL,0.8809999999999999,46,11,16,95,12,0.0
274,119,0.0,06M366,WASHINGTON HEIGHTS ACADEMY,0.777,56,15,27,95,13,0.0
133,120,0.0,08X301,M.S. 301 PAUL L. DUNBAR,0.823,89,0,0,98,44,0.0
46,121,0.0,30Q141,I.S. 141 THE STEINWAY,0.513,380,170,48,41,10,0.0
305,122,0.0,10X243,WEST BRONX ACADEMY FOR THE FUTURE,0.851,93,18,8,95,28,0.0
459,123,0.0,17K061,M.S. 061 DR. GLADSTONE H. ATWELL,0.713,279,96,35,94,44,0.0
232,124,0.0,03M258,COMMUNITY ACTION SCHOOL - MS 258,0.73,84,11,18,87,28,0.0
401,125,0.0,17K340,I.S. 340,0.764,87,35,47,96,9,0.0
266,126,0.0,11X175,P.S. 175 CITY ISLAND,0.247,51,14,31,38,5,0.0
356,127,0.0,19K661,VISTA ACADEMY,0.812,149,24,19,93,48,0.0
388,128,0.0,07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,0.885,103,31,32,99,21,0.0
331,129,0.0,09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,0.938,80,21,28,98,19,0.0
172,130,0.0,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,0.396,79,6,3,94,32,0.0
359,131,0.0,32K045,P.S./I.S. 045 HORACE E. GREENE,0.8240000000000001,70,24,38,95,11,0.0
319,132,0.0,04M057,JAMES WELDON JOHNSON,0.885,95,20,20,93,26,0.0
398,133,0.0,11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,0.705,103,35,34,82,14,0.0
373,134,0.0,29Q295,P.S./I.S. 295,0.419,58,27,43,53,1,0.0
212,135,0.0,25Q200,P.S./M.S. 200 - THE POMONOK SCHOOL & STAR ACADEMY,0.531,65,9,13,69,17,0.0
256,136,0.0,06M293,CITY COLLEGE ACADEMY OF THE ARTS,0.708,79,13,7,97,26,0.0
166,137,0.0,12X372,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,0.809,59,6,3,96,23,0.0
297,138,0.0,13K691,FORT GREENE PREPARATORY ACADEMY,0.701,60,17,22,93,13,0.0
451,139,0.0,17K002,PARKSIDE PREPARATORY ACADEMY,0.7170000000000001,166,69,43,93,15,0.0
350,140,0.0,09X022,J.H.S. 022 JORDAN L. MOTT,0.877,158,24,16,98,55,0.0
198,141,0.0,32K384,P.S. /I.S. 384 FRANCES E. CARTER,0.863,64,8,13,97,24,0.0
222,142,0.0,12X384,ENTRADA ACADEMY,0.868,84,10,13,96,32,0.0
457,143,0.0,24Q061,I.S. 061 LEONARDO DA VINCI,0.748,752,93,13,92,267,0.0
449,144,0.0,10X228,JONAS BRONCK ACADEMY,0.821,88,64,71,91,-17,-0.0
415,145,0.0,08X125,J.H.S. 125 HENRY HUDSON,0.821,123,39,33,71,17,0.0
253,146,0.0,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,0.7709999999999999,65,13,18,90,18,0.0
310,147,0.0,18K581,EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,0.7,58,18,56,91,11,0.0
97,148,0.0,31R034,I.S. 034 TOTTENVILLE,0.225,348,81,21,11,11,0.0
184,149,0.0,27Q043,P.S. 043,0.79,71,7,11,91,27,0.0
366,150,0.0,06M319,M.S. 319 - MARIA TERESA,0.838,120,27,18,98,34,0.0
231,151,0.0,03M256,M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,0.778,48,11,22,88,12,0.0
360,152,0.0,09X215,KAPPA,0.8390000000000001,105,25,32,93,27,0.0
227,153,0.0,29Q138,P.S./M.S. 138 SUNRISE,0.545,116,10,9,92,45,0.0
278,154,0.0,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,0.46399999999999997,116,15,4,93,41,0.0
455,155,0.0,06M223,THE MOTT HALL SCHOOL,0.7240000000000001,104,81,93,93,-26,-0.0
362,156,0.0,15K442,M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,0.684,70,25,31,73,8,0.0
176,157,0.0,09X004,P.S./M.S. 004 CROTONA PARK WEST,0.903,69,7,11,98,28,0.0
429,158,0.0,27Q282,KNOWLEDGE AND POWER PREPARATORY ACADEMY VI,0.599,88,42,50,92,3,0.0
225,159,0.0,23K671,MOTT HALL BRIDGES ACADEMY,0.8,65,10,14,98,23,0.0
44,160,0.0,31R072,I.S. 072 ROCCO LAURIE,0.366,448,139,30,29,26,0.0
357,161,0.0,20K609,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,0.71,78,24,14,40,6,0.0
201,162,0.0,06M328,M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,0.8340000000000001,79,9,9,97,30,0.0
327,163,0.0,32K377,P.S. 377 ALEJANDRINA B. DE GAUTIER,0.8190000000000001,51,20,44,97,6,0.0
168,164,0.0,15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,0.635,89,6,3,85,33,0.0
138,165,0.0,12X098,J.H.S. 098 HERMAN RIDDER,0.865,86,0,0,96,42,0.0
402,166,0.0,22K078,J.H.S. 078 ROY H. MANN,0.546,180,35,17,83,47,0.0
179,167,0.0,12X341,ACCION ACADEMY,0.903,48,7,12,95,17,0.0
340,168,0.0,06M322,MIDDLE SCHOOL 322,0.861,115,22,18,98,36,0.0
306,169,0.0,12X318,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",0.878,96,18,17,97,30,0.0
420,170,0.0,10X280,P.S./M.S. 280 MOSHOLU PARKWAY,0.8370000000000001,129,41,40,83,21,0.0
203,171,0.0,07X298,ACADEMY OF PUBLIC RELATIONS,0.882,85,9,11,98,34,0.0
418,172,0.0,31R061,I.S. 061 WILLIAM A MORRIS,0.7170000000000001,320,40,12,78,96,0.0
312,173,0.0,31R028,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,0.705,60,18,16,83,10,0.0
400,174,0.0,14K126,JOHN ERICSSON MIDDLE SCHOOL 126,0.777,107,35,25,84,16,0.0
194,175,0.0,16K308,P.S. 308 CLARA CARDWELL,0.828,37,8,14,96,10,0.0
115,176,0.0,02M225,ELLA BAKER SCHOOL,0.429,25,0,0,56,7,0.0
299,177,0.0,19K089,P.S. 089 CYPRESS HILLS,0.8240000000000001,49,17,31,98,8,0.0
382,178,0.0,11X370,LEADERS OF TOMORROW,0.7709999999999999,131,29,22,90,34,0.0
338,179,0.0,29Q289,QUEENS UNITED MIDDLE SCHOOL,0.3670000000000001,60,21,24,91,9,0.0
428,180,0.0,21K225,P.S. K225 - THE EILEEN E. ZAGLIN,0.684,121,42,30,40,8,0.0
406,181,0.0,11X498,P.S./M.S. 11X498 - VAN NEST ACADEMY,0.647,91,36,37,78,8,0.0
236,182,0.0,12X273,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,0.823,82,11,15,97,30,0.0
170,183,0.0,19K422,SPRING CREEK COMMUNITY SCHOOL,0.777,86,6,3,96,36,0.0
456,184,0.0,10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,0.85,285,91,33,94,51,0.0
143,185,0.0,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,0.868,66,0,0,93,31,0.0
213,186,0.0,27Q333,GOLDIE MAPLE ACADEMY,0.7440000000000001,24,9,30,88,3,0.0
259,187,0.0,09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,0.8190000000000001,110,13,8,95,41,0.0
434,188,0.0,18K285,I.S. 285 MEYER LEVIN,0.606,231,45,23,99,72,0.0
157,189,0.0,01M140,P.S. 140 NATHAN STRAUS,0.8490000000000001,65,6,9,90,24,0.0
257,190,0.0,08X302,M.S. 302 LUISA DESSUS CRUZ,0.9059999999999999,175,13,7,98,75,0.0
123,191,0.0,04M372,ESPERANZA PREPARATORY ACADEMY,0.836,63,0,0,97,31,0.0
332,192,0.0,13K351,THE URBAN ASSEMBLY UNISON SCHOOL,0.78,53,21,47,82,5,0.0
95,193,0.0,11X194,P.S./M.S. 194,0.764,167,64,39,61,13,0.0
433,194,0.0,10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,0.8859999999999999,197,45,25,96,53,0.0
330,195,0.0,08X467,MOTT HALL COMMUNITY SCHOOL,0.639,111,21,18,79,28,0.0
329,196,0.0,05M129,P.S. 129 JOHN H. FINLEY,0.8540000000000001,63,21,38,93,10,0.0
288,197,0.0,19K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,0.845,84,16,21,96,26,0.0
228,198,0.0,29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,0.46399999999999997,80,10,7,91,28,0.0
147,199,0.0,23K041,P.S. 041 FRANCIS WHITE,0.9,62,0,0,95,30,0.0
137,200,0.0,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,0.857,46,0,0,100,23,0.0
165,201,0.0,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,0.8059999999999999,74,6,3,95,30,0.0
207,202,0.0,17K352,EBBETS FIELD MIDDLE SCHOOL,0.7859999999999999,50,9,12,94,16,0.0
339,203,0.0,03M180,P.S. 180 HUGO NEWMAN,0.69,51,22,37,87,3,0.0
261,204,0.0,10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,0.8640000000000001,31,13,26,97,3,0.0
440,205,0.0,10X080,J.H.S. 080 THE MOSHOLU PARKWAY,0.8270000000000001,235,51,22,81,56,0.0
90,206,0.0,29Q109,JEAN NUZZI INTERMEDIATE SCHOOL,0.435,353,117,33,61,38,0.0
322,207,0.0,12X383,EMOLIOR ACADEMY,0.8390000000000001,91,20,23,89,24,0.0
438,208,0.0,28Q358,M.S. 358,,134,47,38,70,15,0.0
275,209,0.0,09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,0.862,100,15,7,99,36,0.0
88,210,0.0,19K292,J.H.S. 292 MARGARET S. DOUGLAS,0.848,200,81,39,86,18,0.0
334,211,0.0,19K364,I.S. 364 GATEWAY,0.669,126,21,19,94,41,0.0
296,212,0.0,12X242,MOTT HALL V,0.795,102,17,8,94,33,0.0
380,213,0.0,09X323,BRONX WRITING ACADEMY,0.892,159,29,18,95,49,0.0
348,214,0.0,25Q252,"QUEENS SCHOOL OF INQUIRY, THE",0.44299999999999995,92,23,13,40,10,0.0
148,215,0.0,23K178,P.S. 178 SAINT CLAIR MCKELWAY,0.884,39,0,0,95,19,0.0
387,216,0.0,22K381,I. S. 381,0.616,87,30,30,79,11,0.0
164,217,0.0,10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,0.752,50,6,8,95,19,0.0
258,218,0.0,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",0.8220000000000001,89,13,7,98,32,0.0
110,219,0.0,15K497,SCHOOL FOR INTERNATIONAL STUDIES,0.71,109,32,18,77,18,0.0
89,220,0.0,21K096,I.S. 096 SETH LOW,0.73,276,114,43,38,10,0.0
385,221,0.0,08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",0.723,102,30,14,90,20,0.0
358,222,0.0,28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,0.5489999999999999,79,24,12,66,11,0.0
149,223,0.0,23K184,P.S. 184 NEWPORT,0.904,49,0,0,98,24,0.0
224,224,0.0,23K323,P.S./I.S. 323,0.86,65,10,14,98,23,0.0
323,225,0.0,13K113,M.S. 113 RONALD EDMONDS LEARNING CENTER,0.797,104,20,23,93,31,0.0
447,226,0.0,24Q077,I.S. 077,0.687,350,61,17,79,93,0.0
169,227,0.0,17K353,ELIJAH STROUD MIDDLE SCHOOL,0.746,52,6,13,96,20,0.0
142,228,0.0,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,0.782,33,0,0,96,16,0.0
298,229,0.0,18K598,MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES,0.608,48,17,32,96,7,0.0
293,230,0.0,06M143,J.H.S. 143 ELEANOR ROOSEVELT,0.8490000000000001,93,17,15,97,30,0.0
209,231,0.0,23K284,"THE GREGORY JOCKO JACKSON SCHOOL OF SPORTS, ART, AND TECHNOLOGY",0.9059999999999999,57,9,18,99,20,0.0
175,232,0.0,04M050,P.S. 050 VITO MARCANTONIO,0.89,26,7,35,98,6,0.0
316,233,0.0,12X190,E.S.M.T- I.S. 190,0.852,86,19,24,96,24,0.0
417,234,0.0,08X371,URBAN INSTITUTE OF MATHEMATICS,0.56,120,39,34,74,16,0.0
452,235,0.0,22K240,ANDRIES HUDDE,0.61,231,74,27,74,32,0.0
361,236,0.0,11X089,P.S. 089 BRONX,0.737,174,25,15,76,48,0.0
328,237,0.0,03M421,WEST PREP ACADEMY,0.767,74,21,28,91,15,0.0
390,238,0.0,02M422,QUEST TO LEARN,0.406,74,33,16,54,3,0.0
208,239,0.0,23K137,P.S./I.S. 137 RACHEL JEAN MITCHELL,0.807,29,9,27,94,5,0.0
120,240,0.0,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,0.7859999999999999,19,0,0,95,9,0.0
393,241,0.0,12X316,KAPPA III,0.841,131,34,26,95,31,0.0
337,242,0.0,28Q287,THE EMERSON SCHOOL,0.7040000000000001,138,21,17,79,39,0.0
204,243,0.0,08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,0.7559999999999999,79,9,8,91,28,0.0
353,244,0.0,11X355,BRONX ALLIANCE MIDDLE SCHOOL,0.7290000000000001,101,24,18,92,25,0.0
121,245,0.0,04M007,P.S. 007 SAMUEL STERN,0.899,43,0,0,92,20,0.0
336,246,0.0,28Q284,YORK EARLY COLLEGE ACADEMY,0.428,96,21,11,61,17,0.0
273,247,0.0,05M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,0.8170000000000001,59,15,18,98,15,0.0
290,248,0.0,25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,0.293,81,16,9,31,8,0.0
395,249,0.0,31R861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,0.569,93,34,35,63,8,0.0
463,250,0.0,32K383,J.H.S. 383 PHILIPPA SCHUYLER,0.643,278,179,63,93,-35,-0.0
127,251,0.0,06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,0.867,53,0,0,99,27,0.0
239,252,0.0,27Q146,P.S. 146 HOWARD BEACH,0.301,60,11,14,37,7,0.0
369,253,0.0,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),0.7490000000000001,170,27,7,91,54,0.0
156,254,0.0,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,0.86,41,6,10,92,14,0.0
