dbn,grade_7_enrollment,num_shsat_test_takers,offers_per_student,pct_test_takers,high_registrations,school_name,district,zip,community_school,economic_need_index,school_income_estimate,percent_ell,percent_asian,percent_black,percent_hispanic,percent_black__hispanic,percent_white,student_attendance_rate,percent_of_students_chronically_absent,rigorous_instruction_percent,rigorous_instruction_rating,collaborative_teachers_percent,collaborative_teachers_rating,supportive_environment_percent,supportive_environment_rating,effective_school_leadership_percent,effective_school_leadership_rating,strong_family_community_ties_percent,strong_family_community_ties_rating,trust_percent,trust_rating,student_achievement_rating,average_ela_proficiency,average_math_proficiency,grade_7_ela_all_students_tested,grade_7_ela_4s_all_students,grade_7_ela_4s_american_indian_or_alaska_native,grade_7_ela_4s_black_or_african_american,grade_7_ela_4s_hispanic_or_latino,grade_7_ela_4s_asian_or_pacific_islander,grade_7_ela_4s_white,grade_7_ela_4s_multiracial,grade_7_ela_4s_limited_english_proficient,grade_7_ela_4s_economically_disadvantaged,grade_7_math_all_students_tested,grade_7_math_4s_all_students,grade_7_math_4s_american_indian_or_alaska_native,grade_7_math_4s_black_or_african_american,grade_7_math_4s_hispanic_or_latino,grade_7_math_4s_asian_or_pacific_islander,grade_7_math_4s_white,grade_7_math_4s_multiracial,grade_7_math_4s_limited_english_proficient,grade_7_math_4s_economically_disadvantaged,number_of_students_english,number_of_students_math,number_of_students_science,number_of_students_social_studies,number_of_classes_english,number_of_classes_math,number_of_classes_science,number_of_classes_social_studies,average_class_size_english,average_class_size_math,average_class_size_science,average_class_size_social_studies,school_pupil_teacher_ratio
01M539,149,126,67,44,1,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",1,10002,0,0.257,76833.96,0,33,9,11,20,42,97.0,3.0,81.0,4.0,73.0,2.0,85.0,3.0,55.0,1.0,81.0,2.0,74.0,1.0,4.0,3.83,4.03,112,74,0,3,4,21,42,0,0,8,105,74,0,2,3,21,44,0,0,9,412.0,392.0,412.0,412.0,15.0,15.0,15.0,15.0,27.466666666666665,26.13333333333333,27.466666666666665,27.466666666666665,18.9
20K259,630,309,15,53,1,J.H.S. 259 WILLIAM MCKINLEY,20,11228,0,0.622,,11,45,1,22,23,32,96.0,12.0,95.0,4.0,96.0,4.0,89.0,3.0,91.0,4.0,69.0,2.0,94.0,4.0,3.0,2.92,3.28,545,143,0,0,15,82,44,0,0,88,553,213,0,0,16,152,44,0,5,152,1813.0,1748.0,2018.0,1748.0,75.0,62.0,71.0,62.0,24.17333333333333,28.193548387096772,28.422535211267604,28.193548387096772,18.399999999999995
26Q158,351,236,22,61,1,M.S. 158 MARIE CURIE,26,11361,0,0.274,,6,61,5,14,19,20,97.0,5.0,88.0,4.0,91.0,3.0,83.0,3.0,85.0,3.0,72.0,2.0,90.0,3.0,3.0,3.15,3.46,307,100,0,0,5,71,23,0,0,47,312,146,0,0,4,112,28,0,5,74,1187.0,1292.0,1141.0,1079.0,45.0,45.0,38.0,36.0,26.377777777777773,28.711111111111112,30.02631578947368,29.972222222222218,18.5
26Q067,279,211,27,68,1,J.H.S. 067 LOUIS PASTEUR,26,11362,0,0.209,,2,62,3,12,14,23,98.0,4.0,87.0,4.0,87.0,4.0,83.0,3.0,73.0,2.0,73.0,2.0,83.0,2.0,3.0,3.27,3.66,293,107,0,0,8,82,15,0,0,39,232,87,0,0,5,69,11,0,0,35,1172.0,922.0,908.0,910.0,40.0,33.0,31.0,31.0,29.3,27.939393939393934,29.29032258064516,29.35483870967742,18.2
22K234,650,370,12,54,1,J.H.S. 234 ARTHUR W. CUNNINGHAM,22,11229,0,0.463,,9,25,17,11,28,45,96.0,10.0,88.0,3.0,89.0,4.0,85.0,3.0,85.0,3.0,73.0,2.0,91.0,3.0,3.0,3.09,3.32,634,157,0,27,14,48,67,0,0,85,649,263,0,33,18,79,131,0,3,146,3960.0,3960.0,2006.0,1980.0,130.0,130.0,66.0,65.0,30.461538461538463,30.461538461538463,30.393939393939394,30.461538461538463,18.399999999999995
02M167,457,258,18,60,1,J.H.S. 167 ROBERT F. WAGNER,2,10021,0,0.36,,4,28,8,19,27,42,96.0,9.0,85.0,4.0,89.0,3.0,87.0,3.0,84.0,3.0,76.0,2.0,92.0,3.0,4.0,3.08,3.34,398,93,0,3,10,31,47,0,1,33,405,159,0,2,8,76,68,0,4,71,1349.0,1349.0,1349.0,1349.0,44.0,44.0,44.0,44.0,30.65909090909091,30.65909090909091,30.65909090909091,30.65909090909091,15.900000000000004
02M114,150,124,49,81,1,EAST SIDE MIDDLE SCHOOL,2,10028,0,0.104,,0,15,3,9,12,66,98.0,2.0,92.0,4.0,96.0,4.0,92.0,4.0,94.0,4.0,82.0,3.0,96.0,4.0,4.0,3.66,3.94,140,80,3,0,8,16,46,0,0,5,140,116,5,0,10,23,73,0,0,9,443.0,508.0,443.0,443.0,15.0,21.0,13.0,15.0,29.53333333333333,24.190476190476193,34.07692307692308,29.53333333333333,15.3
24Q073,687,394,10,51,1,I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,24,11378,0,0.573,,15,27,1,59,60,13,95.0,12.0,85.0,4.0,86.0,4.0,79.0,2.0,79.0,3.0,71.0,2.0,91.0,3.0,4.0,2.7,2.94,698,106,0,0,34,42,28,0,0,53,711,143,0,0,39,79,24,0,2,77,2570.0,2304.0,2042.0,2042.0,106.0,95.0,81.0,81.0,24.245283018867926,24.252631578947373,25.209876543209877,25.209876543209877,15.300000000000004
02M255,128,108,55,84,1,M.S. 255 SALK SCHOOL OF SCIENCE,2,10003,0,0.131,,0,19,3,9,13,63,97.0,5.0,93.0,3.0,97.0,4.0,95.0,4.0,96.0,4.0,88.0,4.0,98.0,4.0,4.0,3.75,3.63,121,72,0,0,3,14,47,0,0,4,121,85,0,0,5,16,53,0,0,5,,390.0,521.0,,,12.0,16.0,,,32.5,32.5625,,16.7
30Q580,63,94,52,36,0,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,30,11106,0,0.276,,0,49,2,15,17,31,98.0,1.0,88.0,3.0,81.0,2.0,90.0,4.0,74.0,2.0,70.0,1.0,89.0,3.0,4.0,3.91,4.07,106,73,0,0,6,45,19,0,0,23,106,79,0,0,6,51,19,0,0,30,219.0,219.0,219.0,219.0,8.0,8.0,8.0,8.0,27.375,27.375,27.375,27.375,17.4
24Q119,187,104,27,47,1,I.S. 119 THE GLENDALE,24,11385,0,0.436,57397.18,4,25,1,30,32,42,95.0,13.0,89.0,4.0,87.0,4.0,84.0,3.0,83.0,3.0,75.0,1.0,87.0,3.0,4.0,3.13,3.38,227,83,0,0,0,40,36,0,0,50,229,110,0,0,0,49,48,0,1,67,652.0,812.0,872.0,652.0,24.0,31.0,32.0,24.0,27.16666666666667,26.193548387096772,27.25,27.16666666666667,17.900000000000006
03M334,64,75,76,98,1,THE ANDERSON SCHOOL,3,10024,0,0.134,89026.73,0,28,4,9,13,53,98.0,1.0,90.0,4.0,90.0,4.0,92.0,4.0,87.0,3.0,93.0,4.0,92.0,3.0,4.0,3.93,4.15,72,50,0,0,0,13,30,0,0,4,72,59,0,0,0,0,39,0,0,3,229.0,214.0,214.0,214.0,9.0,8.0,8.0,8.0,25.444444444444446,26.75,26.75,26.75,20.9
25Q194,416,147,14,37,0,J.H.S. 194 WILLIAM CARR,25,11357,0,0.34,,7,35,2,29,31,33,95.0,12.0,86.0,3.0,84.0,4.0,82.0,3.0,77.0,2.0,75.0,2.0,87.0,3.0,2.0,2.87,3.07,355,58,0,0,8,26,19,0,0,23,358,101,0,0,11,62,26,0,1,59,1179.0,1179.0,1179.0,1179.0,42.0,42.0,42.0,42.0,28.07142857142857,28.07142857142857,28.07142857142857,28.07142857142857,16.5
28Q190,344,172,15,49,1,J.H.S. 190 RUSSELL SAGE,28,11375,0,0.3720000000000001,,8,33,7,28,35,29,95.0,12.0,86.0,3.0,81.0,3.0,80.0,3.0,72.0,2.0,70.0,1.0,82.0,2.0,3.0,2.85,3.03,352,66,0,1,10,31,21,0,0,22,356,97,0,1,9,54,28,0,3,30,1056.0,1032.0,1032.0,1032.0,38.0,36.0,35.0,36.0,27.78947368421053,28.66666666666667,29.485714285714284,28.66666666666667,17.5
25Q237,508,194,12,45,1,I.S. 237,25,11355,0,0.562,,19,73,7,17,25,2,96.0,13.0,78.0,3.0,78.0,2.0,78.0,2.0,71.0,2.0,66.0,1.0,83.0,2.0,3.0,2.72,3.22,363,66,0,1,3,60,0,0,0,48,392,151,0,2,4,143,0,0,7,122,1705.0,1457.0,1339.0,1424.0,64.0,56.0,51.0,54.0,26.640625,26.017857142857146,26.254901960784316,26.37037037037037,17.699999999999996
02M104,378,260,14,67,1,J.H.S. 104 SIMON BARUCH,2,10010,0,0.522,,5,40,8,21,29,28,96.0,11.0,87.0,3.0,89.0,4.0,85.0,3.0,84.0,3.0,70.0,2.0,92.0,3.0,4.0,3.05,3.25,376,109,1,0,10,44,52,2,0,39,379,153,1,1,9,75,63,4,0,63,1750.0,1138.0,1138.0,1173.0,64.0,41.0,41.0,43.0,27.34375,27.756097560975608,27.756097560975608,27.27906976744186,16.300000000000004
28Q157,528,249,10,43,1,J.H.S. 157 STEPHEN A. HALSEY,28,11374,0,0.408,,9,24,10,23,33,41,95.0,12.0,91.0,4.0,89.0,4.0,84.0,3.0,84.0,3.0,72.0,2.0,90.0,3.0,4.0,2.95,3.19,471,127,0,3,28,41,53,0,0,47,476,161,0,3,28,57,70,0,2,58,1734.0,1518.0,1518.0,1518.0,73.0,56.0,56.0,56.0,23.75342465753425,27.107142857142854,27.107142857142854,27.107142857142854,18.7
15K447,176,134,29,75,1,THE MATH & SCIENCE EXPLORATORY SCHOOL,15,11217,0,0.244,,0,8,17,20,37,52,96.0,7.0,87.0,4.0,92.0,4.0,87.0,3.0,91.0,4.0,88.0,4.0,93.0,3.0,4.0,3.42,3.6,161,72,0,4,8,7,52,1,0,8,161,95,0,3,11,12,65,4,0,12,521.0,521.0,521.0,521.0,18.0,18.0,18.0,18.0,28.944444444444446,28.944444444444446,28.944444444444446,28.944444444444446,11.0
30Q122,94,74,65,98,1,P.S. 122 MAMIE FAY,30,11105,0,0.421,54818.42,5,30,6,21,27,39,96.0,8.0,90.0,4.0,86.0,4.0,91.0,3.0,71.0,2.0,78.0,2.0,92.0,3.0,4.0,3.38,3.52,84,59,0,0,0,37,13,0,0,32,84,58,0,0,0,40,10,0,0,33,273.0,273.0,273.0,273.0,10.0,10.0,10.0,10.0,27.3,27.3,27.3,27.3,18.7
20K686,58,80,54,94,1,BROOKLYN SCHOOL OF INQUIRY,20,11218,0,0.209,65859.29,6,18,5,5,10,71,96.0,5.0,91.0,4.0,97.0,4.0,94.0,4.0,95.0,4.0,90.0,4.0,95.0,4.0,3.0,3.47,3.68,50,24,0,0,0,0,22,0,0,4,50,37,0,0,0,4,31,0,0,7,213.0,213.0,213.0,213.0,7.0,7.0,7.0,7.0,30.42857142857143,30.42857142857143,30.42857142857143,30.42857142857143,20.5
31R075,463,153,11,35,0,I.S. 075 FRANK D. PAULO,31,10312,0,0.207,,1,9,1,10,11,79,95.0,12.0,92.0,4.0,94.0,4.0,85.0,3.0,90.0,4.0,74.0,2.0,92.0,3.0,4.0,3.05,3.16,492,96,0,0,8,20,67,0,0,33,486,139,0,0,12,26,101,0,0,45,1369.0,1369.0,1369.0,1369.0,54.0,53.0,53.0,53.0,25.35185185185185,25.830188679245282,25.830188679245282,25.830188679245282,13.300000000000004
24Q005,614,264,6,41,1,I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,24,11373,0,0.643,,16,44,2,52,54,2,96.0,10.0,82.0,2.0,82.0,3.0,83.0,3.0,76.0,2.0,68.0,1.0,90.0,3.0,4.0,2.84,2.99,571,82,0,1,20,58,0,0,0,40,579,138,0,0,34,102,0,0,2,73,1911.0,1911.0,1832.0,1832.0,80.0,80.0,72.0,72.0,23.8875,23.8875,25.444444444444446,25.444444444444446,15.0
20K180,159,113,22,64,1,THE SEEALL ACADEMY,20,11204,0,0.706,39390.34,23,43,1,28,29,27,97.0,9.0,93.0,3.0,94.0,4.0,86.0,3.0,89.0,4.0,80.0,2.0,93.0,4.0,3.0,2.74,3.03,161,20,0,0,0,14,3,0,0,20,162,54,0,0,0,45,5,0,0,54,830.0,632.0,674.0,535.0,32.0,24.0,26.0,21.0,25.9375,26.33333333333333,25.923076923076927,25.476190476190478,14.800000000000004
24Q125,567,272,6,50,1,I.S. 125 THOM J. MCCANN WOODSIDE,24,11377,0,0.615,,15,40,1,53,54,5,96.0,10.0,90.0,4.0,91.0,4.0,88.0,4.0,84.0,3.0,73.0,2.0,93.0,3.0,4.0,2.65,2.96,499,62,0,0,13,47,2,0,0,29,509,68,0,0,16,51,1,0,0,41,2339.0,1874.0,1507.0,1505.0,86.0,67.0,57.0,57.0,27.19767441860465,27.970149253731346,26.438596491228072,26.403508771929822,15.900000000000002
26Q172,331,189,10,55,1,IRWIN ALTMAN MIDDLE SCHOOL 172,26,11004,0,0.271,,4,62,10,13,23,13,97.0,6.0,86.0,3.0,79.0,2.0,82.0,3.0,68.0,1.0,73.0,2.0,82.0,2.0,3.0,2.96,3.08,289,50,0,3,10,30,6,0,0,26,293,65,0,2,8,44,10,0,1,30,1194.0,1016.0,1023.0,1025.0,40.0,34.0,34.0,34.0,29.85,29.882352941176467,30.088235294117645,30.14705882352941,17.0
21K281,492,171,7,42,1,I.S. 281 JOSEPH B CAVALLARO,21,11214,0,0.631,,16,38,7,22,29,31,94.0,19.0,81.0,2.0,78.0,3.0,81.0,2.0,65.0,1.0,69.0,1.0,81.0,2.0,4.0,2.72,2.97,344,29,0,0,2,11,15,0,0,20,363,71,0,0,3,48,19,0,3,56,1344.0,1286.0,1286.0,1286.0,53.0,48.0,48.0,48.0,25.358490566037737,26.79166666666667,26.79166666666667,26.79166666666667,18.4
25Q025,346,147,9,44,1,I.S. 025 ADRIEN BLOCK,25,11358,0,0.336,,10,50,1,24,25,24,97.0,6.0,87.0,2.0,85.0,3.0,85.0,3.0,75.0,2.0,69.0,1.0,87.0,3.0,3.0,2.95,3.23,257,50,0,0,6,24,18,0,0,22,266,83,0,0,5,57,18,0,7,47,957.0,957.0,957.0,957.0,33.0,33.0,33.0,33.0,29.0,29.0,29.0,29.0,21.1
10X118,379,270,7,64,1,J.H.S. 118 WILLIAM W. NILES,10,10457,0,0.843,,11,15,21,60,81,3,92.0,26.0,84.0,2.0,76.0,2.0,83.0,2.0,69.0,1.0,69.0,1.0,88.0,3.0,3.0,2.54,2.59,348,51,0,5,24,20,2,0,0,46,352,60,0,7,19,30,4,0,0,56,1297.0,1134.0,1159.0,1135.0,54.0,48.0,49.0,48.0,24.01851851851852,23.625,23.6530612244898,23.64583333333333,13.099999999999996
04M012,86,54,48,96,1,TAG YOUNG SCHOLARS,4,10029,0,0.435,48431.58,0,34,25,19,44,15,97.0,5.0,92.0,4.0,92.0,4.0,91.0,4.0,86.0,3.0,87.0,3.0,90.0,3.0,4.0,3.64,3.89,56,38,0,7,5,18,0,0,0,21,57,42,0,8,5,22,0,0,0,21,306.0,210.0,210.0,210.0,10.0,7.0,7.0,7.0,30.6,30.0,30.0,30.0,22.800000000000004
27Q323,231,104,12,24,0,SCHOLARS' ACADEMY,27,11694,0,0.403,,0,21,19,18,37,41,97.0,5.0,93.0,4.0,96.0,4.0,92.0,4.0,93.0,4.0,79.0,3.0,95.0,4.0,4.0,3.7,3.85,261,149,0,20,0,38,71,0,0,63,261,129,0,14,0,38,61,0,0,51,753.0,806.0,726.0,726.0,23.0,25.0,22.0,22.0,32.73913043478261,32.24,33.0,33.0,19.0
20K220,473,181,5,34,0,J.H.S. 220 JOHN J. PERSHING,20,11220,0,0.828,,33,49,1,44,45,6,95.0,12.0,83.0,4.0,80.0,2.0,82.0,3.0,77.0,2.0,67.0,1.0,87.0,2.0,3.0,2.42,2.81,423,28,0,0,9,15,0,0,0,24,437,105,0,0,15,88,0,0,28,79,1969.0,1481.0,1481.0,917.0,71.0,52.0,43.0,32.0,27.732394366197184,28.48076923076923,34.44186046511628,28.65625,15.0
30Q227,472,206,6,44,1,I.S. 227 LOUIS ARMSTRONG,30,11369,0,0.5539999999999999,,5,14,10,48,59,27,97.0,6.0,94.0,4.0,96.0,4.0,90.0,4.0,93.0,4.0,75.0,2.0,95.0,4.0,4.0,2.91,3.2,406,74,0,0,23,16,28,0,0,51,404,93,0,0,31,26,27,0,0,61,1485.0,1499.0,1418.0,1498.0,62.0,61.0,55.0,58.0,23.951612903225808,24.57377049180328,25.78181818181818,25.82758620689655,17.0
14K318,371,222,6,47,1,I.S. 318 EUGENIO MARIA DE HOSTOS,14,11206,0,0.6779999999999999,,5,7,18,62,80,13,95.0,14.0,87.0,3.0,91.0,3.0,87.0,3.0,85.0,3.0,78.0,3.0,92.0,3.0,3.0,2.59,2.63,469,45,0,4,15,0,15,0,0,9,467,65,0,7,15,0,25,0,0,19,1499.0,1325.0,1415.0,1008.0,53.0,45.0,47.0,30.0,28.283018867924532,29.444444444444446,30.106382978723406,33.6,14.900000000000004
30Q300,68,39,63,95,1,THE 30TH AVENUE SCHOOL (G&T CITYWIDE),30,11102,0,0.259,66603.51,1,45,6,9,14,31,96.0,4.0,94.0,,97.0,,95.0,,95.0,,93.0,,99.0,,,3.73,3.99,22,14,0,0,0,10,0,0,0,5,22,12,0,0,0,8,0,0,0,4,151.0,151.0,151.0,151.0,5.0,6.0,6.0,6.0,30.2,25.16666666666667,25.16666666666667,25.16666666666667,19.6
31R072,448,139,6,30,0,I.S. 072 ROCCO LAURIE,31,10314,0,0.366,,4,20,5,24,29,50,94.0,17.0,89.0,3.0,93.0,4.0,86.0,3.0,87.0,3.0,69.0,1.0,93.0,3.0,4.0,2.83,2.79,403,47,0,0,7,21,18,0,0,23,397,44,0,0,9,23,11,0,1,27,1412.0,1315.0,1315.0,1315.0,63.0,54.0,54.0,54.0,22.41269841269841,24.35185185185185,24.35185185185185,24.35185185185185,14.199999999999996
30Q230,439,157,6,36,0,I.S. 230,30,11372,0,0.601,,11,37,1,56,57,5,96.0,8.0,90.0,4.0,91.0,4.0,87.0,4.0,85.0,3.0,74.0,2.0,92.0,3.0,4.0,2.79,3.12,423,63,0,0,21,35,6,0,0,45,422,114,0,0,35,71,7,0,3,88,1437.0,1375.0,1365.0,1308.0,57.0,52.0,51.0,46.0,25.210526315789476,26.44230769230769,26.764705882352942,28.43478260869565,15.699999999999996
30Q141,380,170,7,48,1,I.S. 141 THE STEINWAY,30,11105,0,0.513,,6,23,4,38,41,34,95.0,12.0,89.0,3.0,89.0,4.0,85.0,3.0,78.0,2.0,73.0,2.0,87.0,2.0,3.0,2.87,3.03,382,61,0,1,12,26,20,0,0,30,375,68,0,0,8,30,27,0,0,33,1752.0,2032.0,1145.0,1117.0,67.0,79.0,43.0,42.0,26.149253731343283,25.72151898734177,26.627906976744185,26.595238095238088,16.4
20K227,496,197,5,42,1,J.H.S. 227 EDWARD B. SHALLOW,20,11204,0,0.731,,26,60,0,24,25,16,96.0,11.0,85.0,2.0,87.0,3.0,85.0,3.0,78.0,2.0,68.0,1.0,91.0,3.0,3.0,2.49,2.83,397,20,0,0,4,15,0,0,0,18,428,69,0,0,3,61,0,0,6,62,2384.0,1780.0,1359.0,1352.0,96.0,70.0,54.0,54.0,24.83333333333333,25.42857142857143,25.16666666666667,25.037037037037038,16.300000000000004
28Q217,533,175,4,31,0,J.H.S. 217 ROBERT A. VAN WYCK,28,11435,0,0.628,,18,37,13,41,55,6,93.0,19.0,91.0,3.0,95.0,3.0,87.0,3.0,90.0,4.0,75.0,2.0,94.0,4.0,4.0,2.64,2.64,499,45,2,1,9,29,4,0,0,26,525,52,1,0,5,43,3,0,1,33,2306.0,1632.0,1741.0,1632.0,89.0,62.0,66.0,62.0,25.910112359550567,26.322580645161292,26.37878787878788,26.322580645161292,18.2
05M362,99,42,24,20,0,COLUMBIA SECONDARY SCHOOL,5,10027,0,0.507,,0,12,21,44,65,20,98.0,1.0,87.0,4.0,92.0,4.0,88.0,4.0,90.0,4.0,84.0,4.0,93.0,4.0,4.0,3.47,3.73,89,34,0,3,12,0,10,0,0,13,89,63,0,16,16,0,18,0,0,19,584.0,609.0,296.0,296.0,20.0,25.0,11.0,11.0,29.2,24.36,26.90909090909091,26.90909090909091,16.9
28Q680,95,61,28,32,0,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,28,11432,0,0.41,,0,47,35,11,46,3,98.0,1.0,85.0,3.0,59.0,3.0,82.0,4.0,45.0,1.0,66.0,1.0,64.0,1.0,3.0,3.43,3.53,86,57,0,11,5,38,0,0,0,42,86,51,0,7,3,38,0,0,0,33,552.0,365.0,276.0,276.0,18.0,13.0,10.0,9.0,30.66666666666667,28.07692307692308,27.6,30.66666666666667,19.2
01M184,83,67,26,77,1,P.S. 184M SHUANG WEN,1,10002,0,0.5589999999999999,40809.9,17,71,4,12,15,9,98.0,2.0,90.0,,81.0,,91.0,,67.0,1.0,83.0,2.0,85.0,2.0,4.0,3.24,3.63,72,22,0,0,2,14,3,0,0,15,72,36,0,0,2,29,4,0,0,29,254.0,254.0,254.0,254.0,10.0,10.0,10.0,10.0,25.4,25.4,25.4,25.4,14.3
